x,y,index
0, 19, 4
1, 19, 4
2, 19, 4
3, 19, 4
4, 19, 4
5, 19, 4
6, 19, 4
7, 19, 4
8, 19, 4
9, 19, 4
10, 19, 4
11, 19, 4
0, 20, 4
1, 20, 4
2, 20, 4
3, 20, 4
4, 20, 4
5, 20, 4
6, 20, 4
7, 20, 4
8, 20, 4
9, 20, 4
10, 20, 4
11, 20, 4
0, 21, 4
1, 21, 4
2, 21, 4
3, 21, 4
4, 21, 4
5, 21, 4
6, 21, 4
7, 21, 4
8, 21, 4
9, 21, 4
10, 21, 4
11, 21, 4
0, 22, 4
1, 22, 4
2, 22, 4
3, 22, 4
4, 22, 4
5, 22, 4
6, 22, 4
7, 22, 4
8, 22, 4
9, 22, 4
10, 22, 4
11, 22, 4
0, 23, 4
1, 23, 4
2, 23, 4
3, 23, 4
4, 23, 4
5, 23, 4
6, 23, 4
7, 23, 4
8, 23, 4
9, 23, 4
10, 23, 4
11, 23, 4
0, 24, 4
1, 24, 4
2, 24, 4
3, 24, 4
4, 24, 4
5, 24, 4
6, 24, 4
7, 24, 4
8, 24, 4
9, 24, 4
10, 24, 4
11, 24, 4
0, 25, 4
1, 25, 4
2, 25, 4
3, 25, 4
4, 25, 4
5, 25, 4
6, 25, 4
7, 25, 4
8, 25, 4
9, 25, 4
10, 25, 4
11, 25, 4
0, 26, 4
1, 26, 4
2, 26, 4
3, 26, 4
4, 26, 4
5, 26, 4
6, 26, 4
7, 26, 4
8, 26, 4
9, 26, 4
10, 26, 4
11, 26, 4
0, 27, 4
1, 27, 4
2, 27, 4
3, 27, 4
4, 27, 4
5, 27, 4
6, 27, 4
7, 27, 4
8, 27, 4
9, 27, 4
10, 27, 4
11, 27, 4
0, 28, 4
1, 28, 4
2, 28, 4
3, 28, 4
4, 28, 4
5, 28, 4
6, 28, 4
7, 28, 4
8, 28, 4
9, 28, 4
10, 28, 4
11, 28, 4
0, 29, 4
1, 29, 4
2, 29, 4
3, 29, 4
4, 29, 4
5, 29, 4
6, 29, 4
7, 29, 4
8, 29, 4
9, 29, 4
10, 29, 4
11, 29, 4
0, 30, 4
1, 30, 4
2, 30, 4
3, 30, 4
4, 30, 4
5, 30, 4
6, 30, 4
7, 30, 4
8, 30, 4
9, 30, 4
10, 30, 4
11, 30, 4
0, 31, 4
1, 31, 4
2, 31, 4
3, 31, 4
4, 31, 4
5, 31, 4
6, 31, 4
7, 31, 4
8, 31, 4
9, 31, 4
10, 31, 4
11, 31, 4
0, 32, 4
1, 32, 4
2, 32, 4
3, 32, 4
4, 32, 4
5, 32, 4
6, 32, 4
7, 32, 4
8, 32, 4
9, 32, 4
10, 32, 4
11, 32, 4
0, 33, 4
1, 33, 4
2, 33, 4
3, 33, 4
4, 33, 4
5, 33, 4
6, 33, 4
7, 33, 4
8, 33, 4
9, 33, 4
10, 33, 4
11, 33, 4
0, 34, 4
1, 34, 4
2, 34, 4
3, 34, 4
4, 34, 4
5, 34, 4
6, 34, 4
7, 34, 4
8, 34, 4
9, 34, 4
10, 34, 4
11, 34, 4
0, 35, 4
1, 35, 4
2, 35, 4
3, 35, 4
4, 35, 4
5, 35, 4
6, 35, 4
7, 35, 4
8, 35, 4
9, 35, 4
10, 35, 4
11, 35, 4
0, 36, 4
1, 36, 4
2, 36, 4
3, 36, 4
4, 36, 4
5, 36, 4
6, 36, 4
7, 36, 4
8, 36, 4
9, 36, 4
10, 36, 4
11, 36, 4
0, 37, 4
1, 37, 4
2, 37, 4
3, 37, 4
4, 37, 4
5, 37, 4
6, 37, 4
7, 37, 4
8, 37, 4
9, 37, 4
10, 37, 4
11, 37, 4
28, 28, 3
29, 28, 3
30, 28, 3
31, 28, 3
32, 28, 3
33, 28, 3
34, 28, 3
35, 28, 3
36, 28, 3
37, 28, 3
38, 28, 3
39, 28, 3
40, 28, 3
41, 28, 3
42, 28, 3
43, 28, 3
44, 28, 3
45, 28, 3
46, 28, 3
47, 28, 3
28, 29, 3
29, 29, 3
30, 29, 3
31, 29, 3
32, 29, 3
33, 29, 3
34, 29, 3
35, 29, 3
36, 29, 3
37, 29, 3
38, 29, 3
39, 29, 3
40, 29, 3
41, 29, 3
42, 29, 3
43, 29, 3
44, 29, 3
45, 29, 3
46, 29, 3
47, 29, 3
28, 30, 3
29, 30, 3
30, 30, 3
31, 30, 3
32, 30, 3
33, 30, 3
34, 30, 3
35, 30, 3
36, 30, 3
37, 30, 3
38, 30, 3
39, 30, 3
40, 30, 3
41, 30, 3
42, 30, 3
43, 30, 3
44, 30, 3
45, 30, 3
46, 30, 3
47, 30, 3
28, 31, 3
29, 31, 3
30, 31, 3
31, 31, 3
32, 31, 3
33, 31, 3
34, 31, 3
35, 31, 3
36, 31, 3
37, 31, 3
38, 31, 3
39, 31, 3
40, 31, 3
41, 31, 3
42, 31, 3
43, 31, 3
44, 31, 3
45, 31, 3
46, 31, 3
47, 31, 3
28, 32, 3
29, 32, 3
30, 32, 3
31, 32, 3
