iteration, score, overlap
1036, 231600, 1
1037, 112394, 1
1038, 218356, 0
1039, 106755, 1
1040, 102255, 1
1041, 148816, 1
1042, 192184, 1
1043, 127831, 1
1044, 157046, 1
1045, 183391, 1
1046, 102255, 1
1047, 111825, 1
1048, 102255, 1
1049, 102255, 1
1050, 114241, 1
1051, 146950, 1
1052, 176090, 1
1053, 102015, 1
1054, 114241, 1
1055, 115233, 1
1056, 111394, 1
1057, 149340, 1
1058, 102255, 1
1059, 98771, 1
1060, 98771, 1
1061, 157114, 1
1062, 129454, 1
1063, 177936, 1
1064, 114281, 1
1065, 114001, 1
1066, 184995, 1
1067, 132798, 1
1068, 121286, 1
1069, 137939, 1
1070, 98771, 1
1071, 182784, 1
1072, 115100, 1
1073, 201394, 1
1074, 99331, 1
1075, 133209, 1
1076, 108421, 1
1077, 99011, 1
1078, 123536, 1
1079, 98771, 1
1080, 98771, 1
1081, 170808, 1
1082, 133375, 1
1083, 195236, 1
1084, 159595, 1
1085, 142415, 1
1086, 180236, 1
1087, 169506, 1
1088, 179368, 1
1089, 133583, 1
1090, 117440, 1
1091, 192458, 1
1092, 183927, 1
1093, 183514, 1
1094, 107054, 1
1095, 99273, 1
1096, 207476, 1
1097, 98771, 1
1098, 127260, 1
1099, 117440, 1
1100, 98771, 1
1101, 117440, 1
1102, 173828, 1
1103, 218300, 1
1104, 181314, 1
1105, 144840, 1
1106, 151730, 1
1107, 117440, 1
1108, 114115, 1
1109, 117440, 1
1110, 195864, 1
1111, 219480, 1
1112, 121631, 1
1113, 148292, 1
1114, 176190, 1
1115, 99136, 1
1116, 134345, 1
1117, 195864, 1
1118, 199569, 1
1119, 148630, 1
1120, 99136, 1
1121, 155948, 1
1122, 229278, 1
1123, 236379, 0
1124, 229404, 1
1125, 195624, 0
1126, 206523, 1
1127, 259191, 1
1128, 213420, 1
1129, 240368, 0
1130, 110714, 1
1131, 96436, 1
1132, 105160, 1
1133, 324516, 1
1134, 157048, 1
1135, 110714, 1
1136, 200642, 1
1137, 110349, 1
1138, 290832, 0
1139, 113311, 1
1140, 96436, 1
1141, 148505, 1
1142, 207398, 1
1143, 133955, 1
1144, 105761, 1
1145, 122906, 1
1146, 219260, 1
1147, 110714, 1
1148, 126833, 1
1149, 215777, 1
1150, 204956, 1
1151, 204956, 1
1152, 204956, 1
1153, 274316, 1
1154, 281385, 1
1155, 356592, 0
1156, 177383, 1
1157, 328848, 0
1158, 101486, 1
1159, 315932, 1
1160, 101486, 1
1161, 183740, 1
1162, 219644, 1
1163, 339596, 1
1164, 204956, 1
1165, 310220, 1
1166, 306140, 1
1167, 301244, 1
1168, 197876, 1
1169, 204956, 1
1170, 141491, 1
1171, 97031, 1
1172, 145110, 1
1173, 199685, 1
